DATES,BRIT=Z0 IS EQUITY
2020-10-27,3582.6
2020-10-28,3544.8
2020-10-29,3558.7
2020-10-30,3477.7
2020-11-02,3438.95
2020-11-03,3425.95
2020-11-04,3490.3
2020-11-05,3520.45
2020-11-06,3527.95
2020-11-09,3568.2
2020-11-10,3521.5
2020-11-11,3509.35
2020-11-12,3525.05
2020-11-13,3526.15
2020-11-14,3528.65
2020-11-17,3521.95
2020-11-18,3506.2
2020-11-19,3519.5
2020-11-20,3559.6
2020-11-23,3556.4
2020-11-24,3557.7
2020-11-25,3554.45
2020-11-26,3566.1
2020-11-27,3621.65
2020-12-01,3612.7
2020-12-02,3612.05
2020-12-03,3655.9
2020-12-04,3669.9
2020-12-07,3649.35
2020-12-08,3662.15
2020-12-09,3648.65
2020-12-10,3760.85
2020-12-11,3745.85
2020-12-14,3788.6
2020-12-15,3771.15
2020-12-16,3768.9
2020-12-17,3744.05
2020-12-18,3731.15
