DATES,CIPLA=Z0 IS EQUITY
2020-10-27,776.8
2020-10-28,768.8
2020-10-29,766.2
2020-10-30,760.25
2020-11-02,756.55
2020-11-03,765.95
2020-11-04,787.1
2020-11-05,800.95
2020-11-06,795.75
2020-11-09,768.5
2020-11-10,724.15
2020-11-11,747.35
2020-11-12,745.65
2020-11-13,750.45
2020-11-14,750.75
2020-11-17,747.35
2020-11-18,748.4
2020-11-19,747.25
2020-11-20,744.35
2020-11-23,749.4
2020-11-24,752.7
2020-11-25,735.1
2020-11-26,743.0
2020-11-27,747.8
2020-12-01,757.55
2020-12-02,761.65
2020-12-03,765.3
2020-12-04,771.7
2020-12-07,777.2
2020-12-08,767.8
2020-12-09,766.1
2020-12-10,766.15
2020-12-11,759.05
2020-12-14,790.15
2020-12-15,784.8
2020-12-16,787.9
2020-12-17,785.6
2020-12-18,791.3
