DATES,DABUR=Z0 IS EQUITY
2020-10-27,523.1
2020-10-28,521.0
2020-10-29,520.65
2020-10-30,515.15
2020-11-02,509.75
2020-11-03,519.05
2020-11-04,521.15
2020-11-05,521.65
2020-11-06,527.75
2020-11-09,529.2
2020-11-10,516.1
2020-11-11,514.4
2020-11-12,521.6
2020-11-13,519.35
2020-11-14,519.8
2020-11-17,515.0
2020-11-18,508.25
2020-11-19,510.7
2020-11-20,510.95
2020-11-23,511.95
2020-11-24,510.7
2020-11-25,503.5
2020-11-26,505.6
2020-11-27,502.8
2020-12-01,507.35
2020-12-02,505.3
2020-12-03,504.85
2020-12-04,505.45
2020-12-07,504.95
2020-12-08,505.5
2020-12-09,505.0
2020-12-10,517.15
2020-12-11,515.85
2020-12-14,516.15
2020-12-15,516.2
2020-12-16,516.1
2020-12-17,513.8
2020-12-18,508.9
