DATES,DIVI=Z0 IS EQUITY
2020-10-27,3174.8
2020-10-28,3131.85
2020-10-29,3122.25
2020-10-30,3147.45
2020-11-02,3069.0
2020-11-03,3101.75
2020-11-04,3208.4
2020-11-05,3230.75
2020-11-06,3247.85
2020-11-09,3437.35
2020-11-10,3282.95
2020-11-11,3362.5
2020-11-12,3388.55
2020-11-13,3441.4
2020-11-14,3443.75
2020-11-17,3434.65
2020-11-18,3462.1
2020-11-19,3447.15
2020-11-20,3477.1
2020-11-23,3551.85
2020-11-24,3543.15
2020-11-25,3484.65
2020-11-26,3561.15
2020-11-27,3616.55
2020-12-01,3638.7
2020-12-02,3661.3
2020-12-03,3720.05
2020-12-04,3733.6
2020-12-07,3738.5
2020-12-08,3711.65
2020-12-09,3744.9
2020-12-10,3752.55
2020-12-11,3659.7
2020-12-14,3618.2
2020-12-15,3642.8
2020-12-16,3728.1
2020-12-17,3831.5
2020-12-18,3814.9
