DATES,DLFU=Z0 IS EQUITY
2020-10-27,166.35
2020-10-28,157.15
2020-10-29,154.45
2020-10-30,159.6
2020-11-02,165.35
2020-11-03,164.25
2020-11-04,164.65
2020-11-05,167.0
2020-11-06,168.6
2020-11-09,173.5
2020-11-10,181.8
2020-11-11,183.6
2020-11-12,183.9
2020-11-13,186.1
2020-11-14,185.9
2020-11-17,189.0
2020-11-18,191.8
2020-11-19,186.1
2020-11-20,182.45
2020-11-23,189.25
2020-11-24,190.7
2020-11-25,183.8
2020-11-26,185.4
2020-11-27,188.35
2020-12-01,195.55
2020-12-02,202.1
2020-12-03,203.5
2020-12-04,211.85
2020-12-07,209.05
2020-12-08,207.45
2020-12-09,213.05
2020-12-10,218.4
2020-12-11,219.1
2020-12-14,214.4
2020-12-15,214.7
2020-12-16,235.75
2020-12-17,234.1
2020-12-18,231.55
