DATES,EIM=Z0 IS EQUITY
2020-10-27,2131.0
2020-10-28,2151.1
2020-10-29,2141.8
2020-10-30,2097.75
2020-11-02,2036.8
2020-11-03,2103.55
2020-11-04,2107.7
2020-11-05,2132.1
2020-11-06,2152.5
2020-11-09,2209.55
2020-11-10,2247.4
2020-11-11,2335.3
2020-11-12,2344.2
2020-11-13,2529.65
2020-11-14,2540.75
2020-11-17,2558.25
2020-11-18,2626.2
2020-11-19,2562.75
2020-11-20,2599.5
2020-11-23,2605.2
2020-11-24,2700.35
2020-11-25,2597.15
2020-11-26,2563.75
2020-11-27,2550.6
2020-12-01,2547.2
2020-12-02,2546.0
2020-12-03,2562.95
2020-12-04,2565.05
2020-12-07,2575.5
2020-12-08,2559.65
2020-12-09,2561.7
2020-12-10,2505.85
2020-12-11,2481.25
2020-12-14,2412.35
2020-12-15,2485.05
2020-12-16,2479.0
2020-12-17,2465.7
2020-12-18,2480.3
