DATES,FB=Z0 IS EQUITY
2020-10-27,54.45
2020-10-28,52.6
2020-10-29,51.5
2020-10-30,50.85
2020-11-02,52.0
2020-11-03,53.75
2020-11-04,53.1
2020-11-05,54.45
2020-11-06,55.05
2020-11-09,56.2
2020-11-10,59.1
2020-11-11,57.95
2020-11-12,56.75
2020-11-13,57.05
2020-11-14,56.95
2020-11-17,58.45
2020-11-18,62.45
2020-11-19,58.9
2020-11-20,58.85
2020-11-23,58.65
2020-11-24,59.0
2020-11-25,59.75
2020-11-26,60.2
2020-11-27,63.15
2020-12-01,65.85
2020-12-02,65.35
2020-12-03,65.8
2020-12-04,66.45
2020-12-07,66.65
2020-12-08,65.9
2020-12-09,66.8
2020-12-10,65.85
2020-12-11,66.35
2020-12-14,68.5
2020-12-15,67.7
2020-12-16,67.85
2020-12-17,67.2
2020-12-18,66.85
