DATES,GRASI=Z0 IS EQUITY
2020-10-27,785.0
2020-10-28,783.05
2020-10-29,775.85
2020-10-30,784.0
2020-11-02,793.3
2020-11-03,796.45
2020-11-04,787.8
2020-11-05,809.65
2020-11-06,799.45
2020-11-09,797.7
2020-11-10,795.05
2020-11-11,809.2
2020-11-12,832.15
2020-11-13,844.5
2020-11-14,845.2
2020-11-17,848.45
2020-11-18,853.3
2020-11-19,842.1
2020-11-20,856.7
2020-11-23,858.35
2020-11-24,856.35
2020-11-25,845.3
2020-11-26,879.5
2020-11-27,880.45
2020-12-01,909.6
2020-12-02,917.65
2020-12-03,915.9
2020-12-04,935.4
2020-12-07,939.0
2020-12-08,930.9
2020-12-09,922.35
2020-12-10,914.55
2020-12-11,906.4
2020-12-14,916.2
2020-12-15,916.75
2020-12-16,919.4
2020-12-17,916.6
2020-12-18,910.95
