DATES,HCLT=Z0 IS EQUITY
2020-10-27,853.7
2020-10-28,834.8
2020-10-29,842.95
2020-10-30,847.3
2020-11-02,828.4
2020-11-03,820.0
2020-11-04,821.75
2020-11-05,848.1
2020-11-06,856.0
2020-11-09,861.8
2020-11-10,816.0
2020-11-11,832.2
2020-11-12,830.55
2020-11-13,834.0
2020-11-14,835.0
2020-11-17,820.05
2020-11-18,819.0
2020-11-19,809.75
2020-11-20,822.95
2020-11-23,843.0
2020-11-24,844.8
2020-11-25,829.35
2020-11-26,844.8
2020-11-27,827.15
2020-12-01,838.6
2020-12-02,848.65
2020-12-03,864.75
2020-12-04,862.2
2020-12-07,860.15
2020-12-08,868.6
2020-12-09,872.85
2020-12-10,871.6
2020-12-11,866.5
2020-12-14,876.85
2020-12-15,886.75
2020-12-16,887.05
2020-12-17,882.7
2020-12-18,901.5
