DATES,HDFC=Z0 IS EQUITY
2020-10-27,2054.55
2020-10-28,1983.55
2020-10-29,1949.0
2020-10-30,1931.05
2020-11-02,2054.85
2020-11-03,2142.1
2020-11-04,2101.55
2020-11-05,2118.25
2020-11-06,2152.7
2020-11-09,2167.3
2020-11-10,2290.2
2020-11-11,2335.3
2020-11-12,2342.35
2020-11-13,2322.4
2020-11-14,2326.05
2020-11-17,2356.6
2020-11-18,2378.0
2020-11-19,2334.9
2020-11-20,2345.4
2020-11-23,2264.25
2020-11-24,2232.45
2020-11-25,2198.1
2020-11-26,2247.85
2020-11-27,2263.1
2020-12-01,2314.0
2020-12-02,2281.95
2020-12-03,2261.8
2020-12-04,2258.5
2020-12-07,2308.95
2020-12-08,2314.65
2020-12-09,2318.5
2020-12-10,2295.7
2020-12-11,2301.2
2020-12-14,2308.3
2020-12-15,2353.25
2020-12-16,2427.1
2020-12-17,2495.85
2020-12-18,2475.95
