DATES,HDFCB IS 12/31/20 C1420 EQUITY
2020-10-27,18.05
2020-10-28,13.25
2020-10-29,9.95
2020-10-30,9.15
2020-11-02,12.55
2020-11-03,18.05
2020-11-04,19.45
2020-11-05,21.5
2020-11-06,31.4
2020-11-09,40.6
2020-11-10,62.95
2020-11-11,49.8
2020-11-12,43.0
2020-11-13,44.8
2020-11-14,48.4
2020-11-17,53.25
2020-11-18,53.75
2020-11-19,39.05
2020-11-20,48.6
2020-11-23,45.45
2020-11-24,61.15
2020-11-25,45.8
2020-11-26,49.3
2020-11-27,59.5
2020-12-01,52.75
2020-12-02,39.95
2020-12-03,27.25
2020-12-04,29.6
2020-12-07,24.5
2020-12-08,25.05
2020-12-09,32.85
2020-12-10,24.75
2020-12-11,21.9
2020-12-14,18.45
2020-12-15,21.75
2020-12-16,28.3
2020-12-17,39.2
2020-12-18,28.35
