DATES,HDFCB IS 12/31/20 P1420 EQUITY
2020-10-27,194.25
2020-10-28,214.7
2020-10-29,232.4
2020-10-30,235.4
2020-11-02,207.6
2020-11-03,180.5
2020-11-04,172.65
2020-11-05,163.1
2020-11-06,134.7
2020-11-09,111.5
2020-11-10,80.9
2020-11-11,82.05
2020-11-12,91.3
2020-11-13,98.1
2020-11-14,90.95
2020-11-17,68.6
2020-11-18,62.8
2020-11-19,85.25
2020-11-20,68.85
2020-11-23,71.85
2020-11-24,47.35
2020-11-25,61.45
2020-11-26,45.9
2020-11-27,34.25
2020-12-01,36.25
2020-12-02,44.3
2020-12-03,65.9
2020-12-04,54.3
2020-12-07,66.35
2020-12-08,62.35
2020-12-09,42.25
2020-12-10,50.25
2020-12-11,55.25
2020-12-14,60.2
2020-12-15,48.5
2020-12-16,31.35
2020-12-17,17.25
2020-12-18,21.55
