DATES,HDFCB=Z0 IS EQUITY
2020-10-27,1231.7
2020-10-28,1206.0
2020-10-29,1190.55
2020-10-30,1185.85
2020-11-02,1219.25
2020-11-03,1245.45
2020-11-04,1255.75
2020-11-05,1268.05
2020-11-06,1301.05
2020-11-09,1334.85
2020-11-10,1390.9
2020-11-11,1386.25
2020-11-12,1371.4
2020-11-13,1362.25
2020-11-14,1371.05
2020-11-17,1404.95
2020-11-18,1410.1
2020-11-19,1377.75
2020-11-20,1403.4
2020-11-23,1394.5
2020-11-24,1434.1
2020-11-25,1404.55
2020-11-26,1425.8
2020-11-27,1446.45
2020-12-01,1437.0
2020-12-02,1414.5
2020-12-03,1381.4
2020-12-04,1394.4
2020-12-07,1379.7
2020-12-08,1382.45
2020-12-09,1410.4
2020-12-10,1393.8
2020-12-11,1385.8
2020-12-14,1377.75
2020-12-15,1392.8
2020-12-16,1416.65
2020-12-17,1441.9
2020-12-18,1426.5
