DATES,HDFCL=Z0 IS EQUITY
2020-10-27,591.75
2020-10-28,589.0
2020-10-29,589.9
2020-10-30,592.05
2020-11-02,591.55
2020-11-03,601.95
2020-11-04,599.0
2020-11-05,596.8
2020-11-06,594.6
2020-11-09,597.6
2020-11-10,613.25
2020-11-11,626.4
2020-11-12,633.25
2020-11-13,630.8
2020-11-14,636.75
2020-11-17,673.9
2020-11-18,669.0
2020-11-19,650.1
2020-11-20,667.35
2020-11-23,664.85
2020-11-24,667.6
2020-11-25,669.05
2020-11-26,662.4
2020-11-27,649.4
2020-12-01,646.05
2020-12-02,638.1
2020-12-03,652.4
2020-12-04,646.65
2020-12-07,651.85
2020-12-08,653.3
2020-12-09,654.3
2020-12-10,661.3
2020-12-11,665.05
2020-12-14,659.05
2020-12-15,653.9
2020-12-16,651.75
2020-12-17,655.9
2020-12-18,653.5
