DATES,HMCL=Z0 IS EQUITY
2020-10-27,2936.9
2020-10-28,2951.25
2020-10-29,2906.4
2020-10-30,2816.6
2020-11-02,2846.6
2020-11-03,2938.95
2020-11-04,2969.35
2020-11-05,2958.45
2020-11-06,2958.7
2020-11-09,2973.1
2020-11-10,2962.9
2020-11-11,3067.25
2020-11-12,3093.45
2020-11-13,3124.4
2020-11-14,3106.15
2020-11-17,3018.45
2020-11-18,2992.7
2020-11-19,3001.65
2020-11-20,3003.65
2020-11-23,3061.6
2020-11-24,3055.35
2020-11-25,2993.05
2020-11-26,3029.8
2020-11-27,3108.5
2020-12-01,3079.35
2020-12-02,3114.7
2020-12-03,3141.8
2020-12-04,3179.65
2020-12-07,3168.6
2020-12-08,3172.1
2020-12-09,3180.9
2020-12-10,3181.9
2020-12-11,3168.35
2020-12-14,3096.4
2020-12-15,3111.1
2020-12-16,3122.65
2020-12-17,3119.35
2020-12-18,3123.45
