DATES,HNDL=Z0 IS EQUITY
2020-10-27,175.55
2020-10-28,171.45
2020-10-29,169.1
2020-10-30,171.25
2020-11-02,171.4
2020-11-03,180.55
2020-11-04,177.9
2020-11-05,188.65
2020-11-06,189.35
2020-11-09,195.9
2020-11-10,193.5
2020-11-11,205.35
2020-11-12,209.5
2020-11-13,211.7
2020-11-14,209.85
2020-11-17,214.05
2020-11-18,220.1
2020-11-19,215.0
2020-11-20,216.55
2020-11-23,219.0
2020-11-24,226.55
2020-11-25,224.0
2020-11-26,231.0
2020-11-27,226.7
2020-12-01,229.8
2020-12-02,233.05
2020-12-03,242.6
2020-12-04,253.25
2020-12-07,251.75
2020-12-08,246.95
2020-12-09,242.5
2020-12-10,243.5
2020-12-11,243.9
2020-12-14,246.85
2020-12-15,245.65
2020-12-16,251.75
2020-12-17,246.6
2020-12-18,249.3
