DATES,HPCL=Z0 IS EQUITY
2020-10-27,174.55
2020-10-28,173.05
2020-10-29,179.85
2020-10-30,186.55
2020-11-02,187.15
2020-11-03,185.05
2020-11-04,186.55
2020-11-05,204.3
2020-11-06,204.4
2020-11-09,206.8
2020-11-10,211.45
2020-11-11,213.65
2020-11-12,212.75
2020-11-13,214.1
2020-11-14,219.4
2020-11-17,216.6
2020-11-18,212.9
2020-11-19,213.1
2020-11-20,214.5
2020-11-23,216.45
2020-11-24,215.65
2020-11-25,212.9
2020-11-26,214.0
2020-11-27,210.35
2020-12-01,212.65
2020-12-02,215.55
2020-12-03,221.7
2020-12-04,217.85
2020-12-07,217.8
2020-12-08,216.45
2020-12-09,219.55
2020-12-10,216.55
2020-12-11,217.9
2020-12-14,229.65
2020-12-15,227.1
2020-12-16,231.0
2020-12-17,226.0
2020-12-18,225.0
