DATES,HUVR=Z0 IS EQUITY
2020-10-27,2193.25
2020-10-28,2175.7
2020-10-29,2133.35
2020-10-30,2082.95
2020-11-02,2087.85
2020-11-03,2069.95
2020-11-04,2071.6
2020-11-05,2113.9
2020-11-06,2107.05
2020-11-09,2142.55
2020-11-10,2147.55
2020-11-11,2144.45
2020-11-12,2204.65
2020-11-13,2194.25
2020-11-14,2193.5
2020-11-17,2186.45
2020-11-18,2146.45
2020-11-19,2144.9
2020-11-20,2131.95
2020-11-23,2137.7
2020-11-24,2165.4
2020-11-25,2142.85
2020-11-26,2161.25
2020-11-27,2150.8
2020-12-01,2144.95
2020-12-02,2147.55
2020-12-03,2142.0
2020-12-04,2196.95
2020-12-07,2260.2
2020-12-08,2264.0
2020-12-09,2296.9
2020-12-10,2356.05
2020-12-11,2376.75
2020-12-14,2373.8
2020-12-15,2330.05
2020-12-16,2350.95
2020-12-17,2318.8
2020-12-18,2322.0
