DATES,ICICI IS 12/31/20 C480 EQUITY
2020-10-27,12.65
2020-10-28,9.1
2020-10-29,9.7
2020-10-30,7.95
2020-11-02,13.45
2020-11-03,16.65
2020-11-04,19.4
2020-11-05,11.95
2020-11-06,12.0
2020-11-09,18.25
2020-11-10,32.1
2020-11-11,32.45
2020-11-12,26.0
2020-11-13,30.25
2020-11-14,30.3
2020-11-17,29.95
2020-11-18,36.8
2020-11-19,25.25
2020-11-20,25.25
2020-11-23,20.25
2020-11-24,23.05
2020-11-25,20.95
2020-11-26,20.3
2020-11-27,18.95
2020-12-01,24.45
2020-12-02,21.6
2020-12-03,21.45
2020-12-04,33.8
2020-12-07,38.3
2020-12-08,36.7
2020-12-09,38.7
2020-12-10,35.55
2020-12-11,40.7
2020-12-14,49.1
2020-12-15,41.8
2020-12-16,37.7
2020-12-17,35.55
2020-12-18,38.8
