DATES,ICICI IS 12/31/20 P480 EQUITY
2020-10-27,79.1
2020-10-28,89.5
2020-10-29,86.3
2020-10-30,91.9
2020-11-02,72.7
2020-11-03,55.3
2020-11-04,59.2
2020-11-05,57.95
2020-11-06,54.95
2020-11-09,42.8
2020-11-10,24.35
2020-11-11,22.75
2020-11-12,25.9
2020-11-13,22.7
2020-11-14,22.7
2020-11-17,20.9
2020-11-18,16.15
2020-11-19,23.6
2020-11-20,22.65
2020-11-23,29.25
2020-11-24,21.75
2020-11-25,25.4
2020-11-26,22.4
2020-11-27,22.2
2020-12-01,16.7
2020-12-02,18.2
2020-12-03,16.6
2020-12-04,9.6
2020-12-07,7.35
2020-12-08,7.2
2020-12-09,6.25
2020-12-10,6.1
2020-12-11,4.95
2020-12-14,2.9
2020-12-15,3.3
2020-12-16,3.55
2020-12-17,3.35
2020-12-18,2.55
