DATES,ICICI=Z0 IS EQUITY
2020-10-27,412.15
2020-10-28,399.25
2020-10-29,401.95
2020-10-30,394.9
2020-11-02,420.9
2020-11-03,445.95
2020-11-04,440.3
2020-11-05,441.75
2020-11-06,445.7
2020-11-09,465.1
2020-11-10,487.7
2020-11-11,489.1
2020-11-12,480.2
2020-11-13,487.5
2020-11-14,488.55
2020-11-17,489.0
2020-11-18,500.6
2020-11-19,481.7
2020-11-20,483.25
2020-11-23,470.95
2020-11-24,481.15
2020-11-25,475.3
2020-11-26,477.65
2020-11-27,476.45
2020-12-01,487.55
2020-12-02,483.4
2020-12-03,484.85
2020-12-04,504.4
2020-12-07,511.45
2020-12-08,509.75
2020-12-09,512.7
2020-12-10,509.65
2020-12-11,516.3
2020-12-14,526.45
2020-12-15,518.4
2020-12-16,514.35
2020-12-17,512.4
2020-12-18,515.85
