DATES,IIB IS 12/31/20 C860 EQUITY
2020-11-06,45.95
2020-11-09,32.8
2020-11-10,60.1
2020-11-11,44.35
2020-11-12,34.55
2020-11-13,51.7
2020-11-14,51.4
2020-11-17,35.5
2020-11-18,51.4
2020-11-19,47.95
2020-11-20,43.25
2020-11-23,66.9
2020-11-24,63.0
2020-11-25,66.25
2020-11-26,58.7
2020-11-27,60.1
2020-12-01,83.2
2020-12-02,80.2
2020-12-03,76.9
2020-12-04,88.5
2020-12-07,97.85
2020-12-08,85.85
2020-12-09,93.1
2020-12-10,82.3
2020-12-11,83.95
2020-12-14,82.65
2020-12-15,85.0
2020-12-16,89.75
2020-12-17,91.1
2020-12-18,67.2
