DATES,IIB IS 12/31/20 P860 EQUITY
2020-11-06,161.85
2020-11-09,137.3
2020-11-10,105.3
2020-11-11,129.05
2020-11-12,138.95
2020-11-13,138.35
2020-11-14,136.25
2020-11-17,125.55
2020-11-18,100.9
2020-11-19,105.0
2020-11-20,85.15
2020-11-23,74.2
2020-11-24,68.7
2020-11-25,69.4
2020-11-26,64.2
2020-11-27,57.1
2020-12-01,41.95
2020-12-02,39.2
2020-12-03,37.95
2020-12-04,28.55
2020-12-07,22.2
2020-12-08,27.3
2020-12-09,21.95
2020-12-10,23.7
2020-12-11,21.8
2020-12-14,20.1
2020-12-15,16.05
2020-12-16,15.7
2020-12-17,12.05
2020-12-18,15.15
