DATES,IIB=Z0 IS EQUITY
2020-10-27,618.55
2020-10-28,596.05
2020-10-29,591.85
2020-10-30,588.4
2020-11-02,632.25
2020-11-03,651.5
2020-11-04,681.5
2020-11-05,718.55
2020-11-06,741.2
2020-11-09,778.3
2020-11-10,839.3
2020-11-11,793.75
2020-11-12,775.1
2020-11-13,773.75
2020-11-14,772.6
2020-11-17,788.25
2020-11-18,830.8
2020-11-19,819.35
2020-11-20,815.2
2020-11-23,850.8
2020-11-24,855.4
2020-11-25,856.75
2020-11-26,855.35
2020-11-27,863.25
2020-12-01,900.95
2020-12-02,901.45
2020-12-03,899.8
2020-12-04,919.95
2020-12-07,938.2
2020-12-08,920.25
2020-12-09,932.3
2020-12-10,918.85
2020-12-11,924.8
2020-12-14,923.9
2020-12-15,930.25
2020-12-16,925.05
2020-12-17,939.7
2020-12-18,911.0
