DATES,INFOE=Z0 IS EQUITY
2020-10-27,3605.0
2020-10-28,3588.95
2020-10-29,3619.85
2020-10-30,3547.85
2020-11-02,3561.15
2020-11-03,3573.15
2020-11-04,3634.1
2020-11-05,3661.0
2020-11-06,3625.25
2020-11-09,3654.45
2020-11-10,3565.0
2020-11-11,3582.25
2020-11-12,3692.05
2020-11-13,3873.85
2020-11-14,3893.25
2020-11-17,3943.55
2020-11-18,3976.35
2020-11-19,3846.1
2020-11-20,4001.4
2020-11-23,4062.7
2020-11-24,4063.85
2020-11-25,4047.5
2020-11-26,4186.35
2020-11-27,4309.3
2020-12-01,4228.65
2020-12-02,4227.8
2020-12-03,4183.25
2020-12-04,4260.35
2020-12-07,4330.2
2020-12-08,4289.6
2020-12-09,4398.0
2020-12-10,4600.2
2020-12-11,4540.7
2020-12-14,4682.05
2020-12-15,4653.9
2020-12-16,4617.85
2020-12-17,4578.45
2020-12-18,4635.0
