DATES,IOCL=Z0 IS EQUITY
2020-10-27,78.5
2020-10-28,78.65
2020-10-29,78.75
2020-10-30,79.25
2020-11-02,78.1
2020-11-03,78.25
2020-11-04,78.2
2020-11-05,80.15
2020-11-06,80.4
2020-11-09,81.5
2020-11-10,84.6
2020-11-11,85.4
2020-11-12,85.8
2020-11-13,85.3
2020-11-14,87.15
2020-11-17,85.3
2020-11-18,85.6
2020-11-19,85.15
2020-11-20,85.15
2020-11-23,86.85
2020-11-24,86.55
2020-11-25,86.05
2020-11-26,86.0
2020-11-27,84.95
2020-12-01,86.25
2020-12-02,88.6
2020-12-03,90.5
2020-12-04,90.8
2020-12-07,92.0
2020-12-08,91.5
2020-12-09,94.4
2020-12-10,93.05
2020-12-11,94.2
2020-12-14,96.75
2020-12-15,95.8
2020-12-16,96.55
2020-12-17,95.5
2020-12-18,94.15
