DATES,ITC=Z0 IS EQUITY
2020-10-27,168.0
2020-10-28,166.5
2020-10-29,164.8
2020-10-30,166.05
2020-11-02,167.55
2020-11-03,170.95
2020-11-04,170.95
2020-11-05,175.85
2020-11-06,174.95
2020-11-09,173.8
2020-11-10,179.85
2020-11-11,186.0
2020-11-12,188.85
2020-11-13,187.95
2020-11-14,188.85
2020-11-17,188.25
2020-11-18,185.45
2020-11-19,188.55
2020-11-20,192.45
2020-11-23,191.85
2020-11-24,195.95
2020-11-25,194.15
2020-11-26,195.65
2020-11-27,194.75
2020-12-01,195.5
2020-12-02,196.95
2020-12-03,197.45
2020-12-04,199.25
2020-12-07,204.3
2020-12-08,203.35
2020-12-09,206.4
2020-12-10,213.9
2020-12-11,216.6
2020-12-14,216.5
2020-12-15,214.5
2020-12-16,214.9
2020-12-17,213.9
2020-12-18,212.6
