DATES,JSP=Z0 IS EQUITY
2020-10-27,194.5
2020-10-28,192.15
2020-10-29,191.0
2020-10-30,192.95
2020-11-02,192.1
2020-11-03,203.35
2020-11-04,208.6
2020-11-05,213.5
2020-11-06,212.8
2020-11-09,211.3
2020-11-10,215.1
2020-11-11,220.45
2020-11-12,219.35
2020-11-13,216.75
2020-11-14,217.4
2020-11-17,230.7
2020-11-18,229.2
2020-11-19,235.9
2020-11-20,238.2
2020-11-23,243.5
2020-11-24,242.45
2020-11-25,235.85
2020-11-26,251.0
2020-11-27,245.25
2020-12-01,254.0
2020-12-02,260.65
2020-12-03,264.1
2020-12-04,268.5
2020-12-07,267.45
2020-12-08,261.8
2020-12-09,258.55
2020-12-10,261.1
2020-12-11,261.45
2020-12-14,263.6
2020-12-15,274.05
2020-12-16,285.6
2020-12-17,278.35
2020-12-18,274.25
