DATES,JSTL=Z0 IS EQUITY
2020-10-27,310.05
2020-10-28,308.15
2020-10-29,309.25
2020-10-30,310.25
2020-11-02,311.5
2020-11-03,316.6
2020-11-04,319.1
2020-11-05,330.15
2020-11-06,327.6
2020-11-09,334.95
2020-11-10,337.15
2020-11-11,344.45
2020-11-12,340.0
2020-11-13,345.5
2020-11-14,342.95
2020-11-17,342.85
2020-11-18,344.6
2020-11-19,333.5
2020-11-20,337.85
2020-11-23,339.5
2020-11-24,342.1
2020-11-25,338.85
2020-11-26,360.5
2020-11-27,352.3
2020-12-01,359.6
2020-12-02,370.45
2020-12-03,372.45
2020-12-04,372.65
2020-12-07,366.1
2020-12-08,364.3
2020-12-09,362.45
2020-12-10,364.3
2020-12-11,360.8
2020-12-14,358.4
2020-12-15,367.3
2020-12-16,371.3
2020-12-17,367.25
2020-12-18,367.55
