DATES,KMB IS 12/31/20 P1880 EQUITY
2020-11-04,274.35
2020-11-05,240.85
2020-11-06,210.95
2020-11-09,201.55
2020-11-10,184.7
2020-11-11,151.6
2020-11-12,181.85
2020-11-13,175.3
2020-11-14,169.65
2020-11-17,150.95
2020-11-18,130.95
2020-11-19,131.85
2020-11-20,96.8
2020-11-23,93.85
2020-11-24,75.55
2020-11-25,94.9
2020-11-26,73.5
2020-11-27,71.75
2020-12-01,79.65
2020-12-02,107.5
2020-12-03,102.15
2020-12-04,72.2
2020-12-07,110.75
2020-12-08,101.45
2020-12-09,54.8
2020-12-10,44.9
2020-12-11,38.65
2020-12-14,30.55
2020-12-15,23.2
2020-12-16,17.65
2020-12-17,12.75
2020-12-18,13.75
