DATES,LICHF=Z0 IS EQUITY
2020-10-27,300.2
2020-10-28,296.8
2020-10-29,288.4
2020-10-30,284.55
2020-11-02,299.9
2020-11-03,302.55
2020-11-04,295.25
2020-11-05,308.65
2020-11-06,302.4
2020-11-09,305.75
2020-11-10,324.2
2020-11-11,324.1
2020-11-12,317.25
2020-11-13,316.95
2020-11-14,312.0
2020-11-17,316.3
2020-11-18,327.45
2020-11-19,329.75
2020-11-20,330.1
2020-11-23,319.85
2020-11-24,322.95
2020-11-25,322.05
2020-11-26,327.05
2020-11-27,331.4
2020-12-01,339.55
2020-12-02,343.2
2020-12-03,356.1
2020-12-04,350.1
2020-12-07,350.1
2020-12-08,356.95
2020-12-09,357.4
2020-12-10,347.25
2020-12-11,352.7
2020-12-14,363.2
2020-12-15,372.5
2020-12-16,379.9
2020-12-17,376.0
2020-12-18,372.2
