DATES,LPC=Z0 IS EQUITY
2020-10-27,964.5
2020-10-28,946.3
2020-10-29,932.05
2020-10-30,915.3
2020-11-02,920.1
2020-11-03,941.95
2020-11-04,949.05
2020-11-05,944.25
2020-11-06,921.85
2020-11-09,924.8
2020-11-10,866.5
2020-11-11,915.3
2020-11-12,902.5
2020-11-13,907.55
2020-11-14,911.25
2020-11-17,893.45
2020-11-18,889.85
2020-11-19,890.4
2020-11-20,883.8
2020-11-23,889.65
2020-11-24,899.3
2020-11-25,896.55
2020-11-26,904.9
2020-11-27,897.8
2020-12-01,915.3
2020-12-02,917.1
2020-12-03,921.05
2020-12-04,939.2
2020-12-07,969.65
2020-12-08,950.35
2020-12-09,954.6
2020-12-10,948.35
2020-12-11,943.05
2020-12-14,946.15
2020-12-15,948.95
2020-12-16,963.0
2020-12-17,971.45
2020-12-18,972.7
