DATES,LT=Z0 IS EQUITY
2020-10-27,970.75
2020-10-28,974.75
2020-10-29,921.4
2020-10-30,916.6
2020-11-02,917.25
2020-11-03,936.15
2020-11-04,945.35
2020-11-05,965.25
2020-11-06,966.55
2020-11-09,972.35
2020-11-10,1039.85
2020-11-11,1062.3
2020-11-12,1076.4
2020-11-13,1057.3
2020-11-14,1060.65
2020-11-17,1084.35
2020-11-18,1150.55
2020-11-19,1135.65
2020-11-20,1136.5
2020-11-23,1127.7
2020-11-24,1138.75
2020-11-25,1122.0
2020-11-26,1125.9
2020-11-27,1124.65
2020-12-01,1122.5
2020-12-02,1120.25
2020-12-03,1132.25
2020-12-04,1153.75
2020-12-07,1174.3
2020-12-08,1174.05
2020-12-09,1183.7
2020-12-10,1193.2
2020-12-11,1195.5
2020-12-14,1250.7
2020-12-15,1247.25
2020-12-16,1270.2
2020-12-17,1279.25
2020-12-18,1295.0
