DATES,MM=Z0 IS EQUITY
2020-10-27,602.1
2020-10-28,607.7
2020-10-29,595.6
2020-10-30,596.0
2020-11-02,598.75
2020-11-03,599.95
2020-11-04,600.75
2020-11-05,605.65
2020-11-06,617.45
2020-11-09,620.7
2020-11-10,625.2
2020-11-11,637.4
2020-11-12,637.2
2020-11-13,634.2
2020-11-14,635.2
2020-11-17,640.95
2020-11-18,708.4
2020-11-19,706.8
2020-11-20,718.7
2020-11-23,709.25
2020-11-24,730.05
2020-11-25,721.9
2020-11-26,732.1
2020-11-27,725.8
2020-12-01,736.05
2020-12-02,755.3
2020-12-03,749.15
2020-12-04,752.6
2020-12-07,755.0
2020-12-08,755.35
2020-12-09,756.4
2020-12-10,740.3
2020-12-11,730.85
2020-12-14,714.8
2020-12-15,720.35
2020-12-16,732.95
2020-12-17,731.65
2020-12-18,730.6
