DATES,MSIL=Z0 IS EQUITY
2020-10-27,7205.6
2020-10-28,7220.4
2020-10-29,7140.85
2020-10-30,6996.2
2020-11-02,6915.25
2020-11-03,6959.75
2020-11-04,7002.75
2020-11-05,7141.55
2020-11-06,6961.6
2020-11-09,6915.1
2020-11-10,6842.6
2020-11-11,6901.9
2020-11-12,6890.1
2020-11-13,6861.5
2020-11-14,6888.7
2020-11-17,7010.65
2020-11-18,7102.15
2020-11-19,6987.2
2020-11-20,6989.55
2020-11-23,7006.45
2020-11-24,7188.45
2020-11-25,7082.05
2020-11-26,7022.65
2020-11-27,7053.95
2020-12-01,7133.3
2020-12-02,7245.1
2020-12-03,7759.9
2020-12-04,7826.35
2020-12-07,7784.4
2020-12-08,7778.3
2020-12-09,7749.15
2020-12-10,7764.45
2020-12-11,7739.95
2020-12-14,7708.1
2020-12-15,7782.85
2020-12-16,7816.55
2020-12-17,7706.3
2020-12-18,7596.05
