DATES,MSS=Z0 IS EQUITY
2020-10-27,110.5
2020-10-28,106.75
2020-10-29,107.85
2020-10-30,106.55
2020-11-02,106.95
2020-11-03,109.4
2020-11-04,110.8
2020-11-05,113.75
2020-11-06,117.9
2020-11-09,123.7
2020-11-10,127.95
2020-11-11,131.85
2020-11-12,133.85
2020-11-13,130.7
2020-11-14,130.85
2020-11-17,131.5
2020-11-18,137.4
2020-11-19,137.05
2020-11-20,139.9
2020-11-23,146.35
2020-11-24,145.45
2020-11-25,143.4
2020-11-26,144.2
2020-11-27,147.8
2020-12-01,156.6
2020-12-02,154.1
2020-12-03,157.15
2020-12-04,159.35
2020-12-07,160.15
2020-12-08,158.9
2020-12-09,158.6
2020-12-10,155.6
2020-12-11,155.0
2020-12-14,156.9
2020-12-15,157.55
2020-12-16,157.45
2020-12-17,158.65
2020-12-18,158.15
