DATES,NEST=Z0 IS EQUITY
2020-10-27,17121.9
2020-10-28,16981.75
2020-10-29,16886.55
2020-10-30,17285.95
2020-11-02,17125.0
2020-11-03,16950.0
2020-11-04,17060.0
2020-11-05,17297.2
2020-11-06,17103.15
2020-11-09,17380.55
2020-11-10,16691.05
2020-11-11,16787.0
2020-11-12,16780.85
2020-11-13,16858.45
2020-11-14,16858.4
2020-11-17,16977.35
2020-11-18,16867.9
2020-11-19,16957.8
2020-11-20,17426.8
2020-11-23,17766.15
2020-11-24,17639.5
2020-11-25,17522.85
2020-11-26,17737.8
2020-11-27,17769.6
2020-12-01,17479.35
2020-12-02,17356.2
2020-12-03,17589.55
2020-12-04,17886.1
2020-12-07,17654.55
2020-12-08,17600.5
2020-12-09,17660.65
2020-12-10,18420.55
2020-12-11,18445.4
2020-12-14,18605.2
2020-12-15,18268.05
2020-12-16,18372.75
2020-12-17,18367.6
2020-12-18,18518.55
