DATES,NSEBANK 12/31/20 C29500 INDEX
2020-11-09,450.0
2020-11-10,926.05
2020-11-11,1009.9
2020-11-12,760.35
2020-11-13,792.4
2020-11-14,803.0
2020-11-17,1016.4
2020-11-18,1329.95
2020-11-19,931.55
2020-11-20,1067.35
2020-11-23,968.95
2020-11-24,1300.05
2020-11-25,1072.25
2020-11-26,1133.2
2020-11-27,1136.55
2020-12-01,1254.45
2020-12-02,1023.95
2020-12-03,904.1
2020-12-04,1237.4
2020-12-07,1268.8
2020-12-08,1274.15
2020-12-09,1575.1
2020-12-10,1429.1
2020-12-11,1414.25
2020-12-14,1522.8
2020-12-15,1431.45
2020-12-16,1475.6
2020-12-17,1482.95
2020-12-18,1440.0
