DATES,NSEBANK 12/31/20 P29500 INDEX
2020-11-09,2630.05
2020-11-10,1730.55
2020-11-11,1650.0
2020-11-12,2137.6
2020-11-13,1732.05
2020-11-14,1648.95
2020-11-17,1342.25
2020-11-18,1047.5
2020-11-19,1450.9
2020-11-20,1312.65
2020-11-23,1459.8
2020-11-24,1086.75
2020-11-25,1321.9
2020-11-26,1065.25
2020-11-27,970.25
2020-12-01,867.45
2020-12-02,930.9
2020-12-03,860.65
2020-12-04,546.5
2020-12-07,487.8
2020-12-08,463.2
2020-12-09,315.05
2020-12-10,310.2
2020-12-11,312.8
2020-12-14,239.15
2020-12-15,228.0
2020-12-16,187.0
2020-12-17,138.45
2020-12-18,117.6
