DATES,NTPC=Z0 IS EQUITY
2020-10-27,89.2
2020-10-28,88.0
2020-10-29,86.4
2020-10-30,87.3
2020-11-02,89.0
2020-11-03,85.4
2020-11-04,84.7
2020-11-05,86.5
2020-11-06,86.45
2020-11-09,88.05
2020-11-10,90.0
2020-11-11,92.0
2020-11-12,91.0
2020-11-13,91.45
2020-11-14,91.3
2020-11-17,88.95
2020-11-18,88.65
2020-11-19,90.15
2020-11-20,91.75
2020-11-23,93.15
2020-11-24,93.75
2020-11-25,94.25
2020-11-26,94.65
2020-11-27,94.65
2020-12-01,94.3
2020-12-02,95.3
2020-12-03,99.1
2020-12-04,98.8
2020-12-07,100.05
2020-12-08,98.65
2020-12-09,98.85
2020-12-10,97.55
2020-12-11,102.5
2020-12-14,104.9
2020-12-15,106.0
2020-12-16,105.35
2020-12-17,104.8
2020-12-18,103.55
