DATES,NZZ0 INDEX
2020-10-27,11898.4
2020-10-28,11748.55
2020-10-29,11683.85
2020-10-30,11655.05
2020-11-02,11696.95
2020-11-03,11844.6
2020-11-04,11938.0
2020-11-05,12159.15
2020-11-06,12277.2
2020-11-09,12479.6
2020-11-10,12674.35
2020-11-11,12768.45
2020-11-12,12721.75
2020-11-13,12770.9
2020-11-14,12801.7
2020-11-17,12896.15
2020-11-18,12973.7
2020-11-19,12811.6
2020-11-20,12895.1
2020-11-23,12954.9
2020-11-24,13083.55
2020-11-25,12889.35
2020-11-26,13022.55
2020-11-27,13017.4
2020-12-01,13143.4
2020-12-02,13162.45
2020-12-03,13191.85
2020-12-04,13311.6
2020-12-07,13387.6
2020-12-08,13428.15
2020-12-09,13567.7
2020-12-10,13524.35
2020-12-11,13518.35
2020-12-14,13571.6
2020-12-15,13584.95
2020-12-16,13699.45
2020-12-17,13754.4
2020-12-18,13784.0
