DATES,ONGC=Z0 IS EQUITY
2020-10-27,66.9
2020-10-28,66.5
2020-10-29,64.75
2020-10-30,64.85
2020-11-02,65.8
2020-11-03,66.3
2020-11-04,66.9
2020-11-05,67.65
2020-11-06,68.05
2020-11-09,68.7
2020-11-10,71.05
2020-11-11,72.6
2020-11-12,72.0
2020-11-13,72.3
2020-11-14,72.8
2020-11-17,71.45
2020-11-18,72.1
2020-11-19,72.2
2020-11-20,71.7
2020-11-23,76.65
2020-11-24,76.5
2020-11-25,81.05
2020-11-26,80.45
2020-11-27,78.9
2020-12-01,81.95
2020-12-02,85.15
2020-12-03,88.9
2020-12-04,90.1
2020-12-07,91.65
2020-12-08,90.95
2020-12-09,91.65
2020-12-10,92.1
2020-12-11,97.25
2020-12-14,101.7
2020-12-15,100.75
2020-12-16,103.05
2020-12-17,101.75
2020-12-18,99.3
