DATES,PAG=Z0 IS EQUITY
2020-10-27,20415.15
2020-10-28,20141.45
2020-10-29,20000.0
2020-10-30,20047.85
2020-11-02,19726.9
2020-11-03,19815.95
2020-11-04,20358.4
2020-11-05,21143.3
2020-11-06,21664.7
2020-11-09,22034.55
2020-11-10,22181.05
2020-11-11,21844.3
2020-11-12,22264.5
2020-11-13,21892.6
2020-11-14,21889.05
2020-11-17,22721.75
2020-11-18,22493.15
2020-11-19,21991.7
2020-11-20,22229.75
2020-11-23,22031.75
2020-11-24,22692.95
2020-11-25,22397.6
2020-11-26,22909.3
2020-11-27,22845.55
2020-12-01,22976.65
2020-12-02,23140.6
2020-12-03,23367.55
2020-12-04,24056.4
2020-12-07,24141.95
2020-12-08,24331.95
2020-12-09,24365.45
2020-12-10,24441.45
2020-12-11,23668.65
2020-12-14,24105.8
2020-12-15,24682.15
2020-12-16,25913.95
2020-12-17,27281.05
2020-12-18,28300.05
