DATES,PIEL=Z0 IS EQUITY
2020-10-27,1308.65
2020-10-28,1293.45
2020-10-29,1222.35
2020-10-30,1268.65
2020-11-02,1307.3
2020-11-03,1309.5
2020-11-04,1311.65
2020-11-05,1347.85
2020-11-06,1354.65
2020-11-09,1387.7
2020-11-10,1387.7
2020-11-11,1400.45
2020-11-12,1411.6
2020-11-13,1474.8
2020-11-14,1459.7
2020-11-17,1418.65
2020-11-18,1443.0
2020-11-19,1400.25
2020-11-20,1399.4
2020-11-23,1399.75
2020-11-24,1433.7
2020-11-25,1393.15
2020-11-26,1432.4
2020-11-27,1396.55
2020-12-01,1421.9
2020-12-02,1429.65
2020-12-03,1501.1
2020-12-04,1472.65
2020-12-07,1508.65
2020-12-08,1490.6
2020-12-09,1474.55
2020-12-10,1461.5
2020-12-11,1438.8
2020-12-14,1429.75
2020-12-15,1454.75
2020-12-16,1464.25
2020-12-17,1445.25
2020-12-18,1454.35
