DATES,PWGR=Z0 IS EQUITY
2020-10-27,172.05
2020-10-28,171.55
2020-10-29,172.85
2020-10-30,170.2
2020-11-02,173.05
2020-11-03,178.35
2020-11-04,175.45
2020-11-05,178.75
2020-11-06,178.2
2020-11-09,182.75
2020-11-10,185.95
2020-11-11,189.25
2020-11-12,189.3
2020-11-13,189.45
2020-11-14,188.15
2020-11-17,186.8
2020-11-18,185.15
2020-11-19,189.35
2020-11-20,190.25
2020-11-23,192.65
2020-11-24,192.0
2020-11-25,192.3
2020-11-26,194.4
2020-11-27,192.05
2020-12-01,192.1
2020-12-02,193.6
2020-12-03,193.95
2020-12-04,193.95
2020-12-07,191.25
2020-12-08,189.3
2020-12-09,189.85
2020-12-10,189.55
2020-12-11,189.65
2020-12-14,190.3
2020-12-15,188.7
2020-12-16,192.15
2020-12-17,193.65
2020-12-18,194.3
