DATES,RIL=Z0 IS EQUITY
2020-10-27,2053.95
2020-10-28,2029.55
2020-10-29,2040.25
2020-10-30,2068.45
2020-11-02,1890.15
2020-11-03,1866.75
2020-11-04,1926.8
2020-11-05,1966.1
2020-11-06,2039.85
2020-11-09,2060.25
2020-11-10,2095.85
2020-11-11,2013.45
2020-11-12,1995.45
2020-11-13,2012.55
2020-11-14,2013.7
2020-11-17,2004.8
2020-11-18,2000.3
2020-11-19,1983.65
2020-11-20,1907.2
2020-11-23,1962.4
2020-11-24,1974.45
2020-11-25,1955.85
2020-11-26,1959.2
2020-11-27,1942.3
2020-12-01,1962.25
2020-12-02,1968.6
2020-12-03,1976.7
2020-12-04,1955.65
2020-12-07,1963.85
2020-12-08,2005.05
2020-12-09,2033.5
2020-12-10,2017.95
2020-12-11,2008.2
2020-12-14,1994.65
2020-12-15,1977.15
2020-12-16,1984.6
2020-12-17,1991.5
2020-12-18,1981.4
