DATES,SBILI=Z0 IS EQUITY
2020-10-27,780.35
2020-10-28,776.75
2020-10-29,765.7
2020-10-30,774.7
2020-11-02,770.0
2020-11-03,794.25
2020-11-04,795.1
2020-11-05,810.2
2020-11-06,804.6
2020-11-09,812.75
2020-11-10,834.6
2020-11-11,844.45
2020-11-12,843.35
2020-11-13,838.85
2020-11-14,841.95
2020-11-17,867.8
2020-11-18,861.85
2020-11-19,849.55
2020-11-20,850.2
2020-11-23,835.9
2020-11-24,843.0
2020-11-25,851.55
2020-11-26,856.05
2020-11-27,850.35
2020-12-01,854.1
2020-12-02,880.4
2020-12-03,864.45
2020-12-04,865.8
2020-12-07,855.1
2020-12-08,858.6
2020-12-09,860.75
2020-12-10,860.8
2020-12-11,853.65
2020-12-14,852.85
2020-12-15,857.4
2020-12-16,859.1
2020-12-17,858.05
2020-12-18,857.2
