DATES,SBIN IS 12/31/20 C245 EQUITY
2020-10-27,2.15
2020-10-28,1.6
2020-10-29,1.35
2020-10-30,1.35
2020-11-02,1.95
2020-11-03,3.2
2020-11-04,3.55
2020-11-05,6.35
2020-11-06,6.35
2020-11-09,6.05
2020-11-10,10.25
2020-11-11,10.4
2020-11-12,7.8
2020-11-13,7.9
2020-11-14,8.75
2020-11-17,12.3
2020-11-18,19.1
2020-11-19,12.8
2020-11-20,13.6
2020-11-23,11.7
2020-11-24,13.2
2020-11-25,13.0
2020-11-26,13.45
2020-11-27,12.75
2020-12-01,14.5
2020-12-02,13.45
2020-12-03,19.1
2020-12-04,23.35
2020-12-07,28.0
2020-12-08,30.05
2020-12-09,29.0
2020-12-10,28.25
2020-12-11,30.2
2020-12-14,31.4
2020-12-15,28.4
2020-12-16,26.45
2020-12-17,24.35
2020-12-18,28.0
