DATES,SBIN IS 12/31/20 P245 EQUITY
2020-10-27,50.65
2020-10-28,54.35
2020-10-29,55.9
2020-10-30,55.35
2020-11-02,49.2
2020-11-03,41.8
2020-11-04,39.9
2020-11-05,31.1
2020-11-06,30.6
2020-11-09,30.05
2020-11-10,22.1
2020-11-11,20.5
2020-11-12,24.9
2020-11-13,23.05
2020-11-14,22.75
2020-11-17,15.85
2020-11-18,11.25
2020-11-19,16.0
2020-11-20,14.7
2020-11-23,16.75
2020-11-24,13.45
2020-11-25,14.05
2020-11-26,11.95
2020-11-27,11.95
2020-12-01,10.1
2020-12-02,10.15
2020-12-03,6.5
2020-12-04,4.25
2020-12-07,3.1
2020-12-08,2.75
2020-12-09,2.9
2020-12-10,2.5
2020-12-11,2.2
2020-12-14,1.7
2020-12-15,1.6
2020-12-16,1.55
2020-12-17,1.5
2020-12-18,1.05
