DATES,SBIN=Z0 IS EQUITY
2020-10-27,196.35
2020-10-28,191.8
2020-10-29,190.2
2020-10-30,190.5
2020-11-02,197.4
2020-11-03,206.0
2020-11-04,208.65
2020-11-05,219.85
2020-11-06,219.9
2020-11-09,221.2
2020-11-10,233.35
2020-11-11,235.25
2020-11-12,228.45
2020-11-13,231.0
2020-11-14,230.2
2020-11-17,240.9
2020-11-18,252.95
2020-11-19,241.15
2020-11-20,243.45
2020-11-23,239.7
2020-11-24,244.7
2020-11-25,243.65
2020-11-26,246.6
2020-11-27,245.8
2020-12-01,249.45
2020-12-02,248.3
2020-12-03,257.75
2020-12-04,264.3
2020-12-07,270.05
2020-12-08,272.4
2020-12-09,271.2
2020-12-10,270.85
2020-12-11,272.8
2020-12-14,274.95
2020-12-15,271.85
2020-12-16,270.45
2020-12-17,268.45
2020-12-18,271.9
