DATES,SHTF=Z0 IS EQUITY
2020-10-27,732.4
2020-10-28,707.3
2020-10-29,698.6
2020-10-30,690.05
2020-11-02,752.7
2020-11-03,758.1
2020-11-04,784.1
2020-11-05,810.65
2020-11-06,839.9
2020-11-09,838.0
2020-11-10,860.35
2020-11-11,883.15
2020-11-12,865.4
2020-11-13,876.8
2020-11-14,874.6
2020-11-17,862.5
2020-11-18,926.7
2020-11-19,908.7
2020-11-20,929.25
2020-11-23,963.3
2020-11-24,1010.0
2020-11-25,1033.6
2020-11-26,1052.95
2020-11-27,1052.95
2020-12-01,1025.15
2020-12-02,1035.95
2020-12-03,1038.2
2020-12-04,1009.1
2020-12-07,1069.15
2020-12-08,1070.9
2020-12-09,1067.5
2020-12-10,1054.3
2020-12-11,1046.95
2020-12-14,1074.8
2020-12-15,1097.8
2020-12-16,1077.35
2020-12-17,1060.45
2020-12-18,1032.2
