DATES,SRCM=Z0 IS EQUITY
2020-10-27,21900.9
2020-10-28,21520.6
2020-10-29,21757.2
2020-10-30,21763.7
2020-11-02,21820.7
2020-11-03,21910.25
2020-11-04,22018.0
2020-11-05,22318.5
2020-11-06,22150.85
2020-11-09,22717.35
2020-11-10,22893.4
2020-11-11,23094.55
2020-11-12,23587.85
2020-11-13,23527.1
2020-11-14,23469.5
2020-11-17,24095.25
2020-11-18,24189.25
2020-11-19,23790.8
2020-11-20,24055.0
2020-11-23,24514.9
2020-11-24,24290.85
2020-11-25,23797.05
2020-11-26,24492.35
2020-11-27,24286.4
2020-12-01,24977.85
2020-12-02,24783.55
2020-12-03,24963.3
2020-12-04,25029.5
2020-12-07,25043.85
2020-12-08,24915.15
2020-12-09,24557.95
2020-12-10,23894.35
2020-12-11,23895.55
2020-12-14,23827.55
2020-12-15,24345.95
2020-12-16,24300.45
2020-12-17,24540.6
2020-12-18,24511.5
