DATES,TCS=Z0 IS EQUITY
2020-10-27,2638.1
2020-10-28,2628.2
2020-10-29,2632.95
2020-10-30,2656.5
2020-11-02,2609.35
2020-11-03,2629.25
2020-11-04,2657.75
2020-11-05,2694.85
2020-11-06,2712.2
2020-11-09,2741.85
2020-11-10,2665.65
2020-11-11,2701.9
2020-11-12,2687.5
2020-11-13,2671.2
2020-11-14,2677.6
2020-11-17,2673.65
2020-11-18,2640.05
2020-11-19,2647.3
2020-11-20,2668.4
2020-11-23,2729.25
2020-11-24,2727.45
2020-11-25,2707.3
2020-11-26,2732.75
2020-11-27,2695.5
2020-12-01,2740.25
2020-12-02,2764.1
2020-12-03,2727.05
2020-12-04,2742.95
2020-12-07,2749.45
2020-12-08,2808.1
2020-12-09,2820.15
2020-12-10,2799.75
2020-12-11,2789.15
2020-12-14,2800.75
2020-12-15,2773.6
2020-12-16,2817.4
2020-12-17,2841.65
2020-12-18,2894.8
