DATES,TECHM=Z0 IS EQUITY
2020-10-27,818.75
2020-10-28,796.4
2020-10-29,809.2
2020-10-30,815.1
2020-11-02,817.55
2020-11-03,813.8
2020-11-04,831.0
2020-11-05,844.6
2020-11-06,854.45
2020-11-09,876.4
2020-11-10,828.3
2020-11-11,843.2
2020-11-12,847.9
2020-11-13,845.0
2020-11-14,846.15
2020-11-17,849.05
2020-11-18,840.6
2020-11-19,828.5
2020-11-20,840.25
2020-11-23,867.95
2020-11-24,880.2
2020-11-25,864.9
2020-11-26,862.3
2020-11-27,877.75
2020-12-01,911.1
2020-12-02,913.75
2020-12-03,917.05
2020-12-04,928.55
2020-12-07,946.2
2020-12-08,937.6
2020-12-09,934.5
2020-12-10,932.2
2020-12-11,922.95
2020-12-14,913.85
2020-12-15,928.9
2020-12-16,925.9
2020-12-17,932.4
2020-12-18,937.8
