DATES,TPWR=Z0 IS EQUITY
2020-10-27,54.15
2020-10-28,53.55
2020-10-29,52.5
2020-10-30,52.55
2020-11-02,53.0
2020-11-03,54.0
2020-11-04,53.65
2020-11-05,55.9
2020-11-06,55.1
2020-11-09,55.6
2020-11-10,57.3
2020-11-11,57.6
2020-11-12,55.95
2020-11-13,55.75
2020-11-14,56.35
2020-11-17,58.1
2020-11-18,60.95
2020-11-19,59.4
2020-11-20,58.5
2020-11-23,59.2
2020-11-24,60.3
2020-11-25,61.85
2020-11-26,62.75
2020-11-27,65.05
2020-12-01,69.0
2020-12-02,68.3
2020-12-03,69.7
2020-12-04,71.95
2020-12-07,71.9
2020-12-08,72.4
2020-12-09,73.55
2020-12-10,73.05
2020-12-11,73.15
2020-12-14,73.9
2020-12-15,75.4
2020-12-16,76.35
2020-12-17,75.4
2020-12-18,76.05
