DATES,TTAN=Z0 IS EQUITY
2020-10-27,1237.45
2020-10-28,1223.5
2020-10-29,1181.95
2020-10-30,1174.2
2020-11-02,1176.85
2020-11-03,1208.05
2020-11-04,1220.05
2020-11-05,1249.4
2020-11-06,1260.85
2020-11-09,1293.45
2020-11-10,1309.6
2020-11-11,1282.3
2020-11-12,1284.5
2020-11-13,1292.6
2020-11-14,1290.35
2020-11-17,1306.4
2020-11-18,1288.7
2020-11-19,1299.9
2020-11-20,1366.3
2020-11-23,1351.4
2020-11-24,1334.8
2020-11-25,1313.5
2020-11-26,1334.65
2020-11-27,1359.3
2020-12-01,1344.75
2020-12-02,1391.95
2020-12-03,1419.75
2020-12-04,1438.45
2020-12-07,1433.25
2020-12-08,1435.75
2020-12-09,1430.95
2020-12-10,1432.4
2020-12-11,1446.3
2020-12-14,1464.85
2020-12-15,1470.8
2020-12-16,1505.25
2020-12-17,1505.9
2020-12-18,1513.0
