DATES,TTCH=Z0 IS EQUITY
2020-10-27,325.6
2020-10-28,323.65
2020-10-29,328.45
2020-10-30,324.7
2020-11-02,315.65
2020-11-03,311.45
2020-11-04,307.4
2020-11-05,315.3
2020-11-06,318.5
2020-11-09,319.65
2020-11-10,317.45
2020-11-11,320.4
2020-11-12,327.85
2020-11-13,326.3
2020-11-14,326.55
2020-11-17,324.45
2020-11-18,329.75
2020-11-19,355.25
2020-11-20,357.75
2020-11-23,360.3
2020-11-24,369.2
2020-11-25,369.85
2020-11-26,383.6
2020-11-27,391.55
2020-12-01,406.25
2020-12-02,426.15
2020-12-03,453.5
2020-12-04,488.15
2020-12-07,509.0
2020-12-08,511.8
2020-12-09,513.5
2020-12-10,514.2
2020-12-11,510.7
2020-12-14,511.9
2020-12-15,505.9
2020-12-16,500.0
2020-12-17,496.0
2020-12-18,491.5
