DATES,TTMT=Z0 IS EQUITY
2020-10-27,136.9
2020-10-28,135.6
2020-10-29,132.65
2020-10-30,133.65
2020-11-02,133.8
2020-11-03,135.05
2020-11-04,136.95
2020-11-05,138.75
2020-11-06,139.95
2020-11-09,142.15
2020-11-10,147.1
2020-11-11,152.1
2020-11-12,152.35
2020-11-13,147.2
2020-11-14,148.25
2020-11-17,158.1
2020-11-18,174.7
2020-11-19,168.55
2020-11-20,170.05
2020-11-23,171.55
2020-11-24,172.75
2020-11-25,171.55
2020-11-26,175.6
2020-11-27,181.25
2020-12-01,180.75
2020-12-02,184.45
2020-12-03,185.65
2020-12-04,185.05
2020-12-07,184.3
2020-12-08,182.6
2020-12-09,183.2
2020-12-10,178.35
2020-12-11,179.05
2020-12-14,178.3
2020-12-15,179.7
2020-12-16,182.9
2020-12-17,181.65
2020-12-18,180.8
