DATES,UPLL=Z0 IS EQUITY
2020-10-27,442.5
2020-10-28,453.4
2020-10-29,453.75
2020-10-30,456.45
2020-11-02,446.8
2020-11-03,420.25
2020-11-04,404.7
2020-11-05,421.5
2020-11-06,424.6
2020-11-09,428.75
2020-11-10,434.9
2020-11-11,437.5
2020-11-12,432.9
2020-11-13,428.45
2020-11-14,430.8
2020-11-17,432.4
2020-11-18,429.3
2020-11-19,418.8
2020-11-20,422.85
2020-11-23,428.95
2020-11-24,430.05
2020-11-25,419.8
2020-11-26,422.85
2020-11-27,420.4
2020-12-01,435.6
2020-12-02,443.75
2020-12-03,456.4
2020-12-04,456.75
2020-12-07,476.9
2020-12-08,473.75
2020-12-09,494.05
2020-12-10,441.0
2020-12-11,436.95
2020-12-14,442.65
2020-12-15,449.35
2020-12-16,460.35
2020-12-17,456.6
2020-12-18,459.95
