DATES,UTCEM=Z0 IS EQUITY
2020-10-27,4601.65
2020-10-28,4503.95
2020-10-29,4599.8
2020-10-30,4580.0
2020-11-02,4577.35
2020-11-03,4580.4
2020-11-04,4570.7
2020-11-05,4649.0
2020-11-06,4591.1
2020-11-09,4663.95
2020-11-10,4740.5
2020-11-11,4844.2
2020-11-12,4866.05
2020-11-13,4911.35
2020-11-14,4921.5
2020-11-17,4929.0
2020-11-18,4949.35
2020-11-19,4808.05
2020-11-20,4880.55
2020-11-23,4908.0
2020-11-24,4901.95
2020-11-25,4836.45
2020-11-26,4863.95
2020-11-27,4828.25
2020-12-01,4921.75
2020-12-02,4943.0
2020-12-03,4927.05
2020-12-04,5104.55
2020-12-07,5072.45
2020-12-08,5227.05
2020-12-09,5169.95
2020-12-10,4984.1
2020-12-11,5020.0
2020-12-14,5078.4
2020-12-15,5166.55
2020-12-16,5125.5
2020-12-17,5173.65
2020-12-18,5157.6
