DATES,VEDL=Z0 IS EQUITY
2020-10-27,103.3
2020-10-28,96.05
2020-10-29,96.3
2020-10-30,96.4
2020-11-02,95.5
2020-11-03,95.85
2020-11-04,92.8
2020-11-05,95.05
2020-11-06,95.15
2020-11-09,99.45
2020-11-10,100.5
2020-11-11,102.6
2020-11-12,104.25
2020-11-13,108.15
2020-11-14,108.75
2020-11-17,108.05
2020-11-18,109.7
2020-11-19,112.95
2020-11-20,111.8
2020-11-23,113.85
2020-11-24,116.6
2020-11-25,114.8
2020-11-26,119.6
2020-11-27,121.6
2020-12-01,122.35
2020-12-02,124.8
2020-12-03,127.2
2020-12-04,129.45
2020-12-07,132.65
2020-12-08,136.85
2020-12-09,144.15
2020-12-10,144.85
2020-12-11,146.95
2020-12-14,147.0
2020-12-15,146.45
2020-12-16,148.6
2020-12-17,147.05
2020-12-18,147.2
