DATES,VOLT=Z0 IS EQUITY
2020-10-27,703.95
2020-10-28,703.95
2020-10-29,703.45
2020-10-30,710.65
2020-11-02,721.6
2020-11-03,709.4
2020-11-04,726.85
2020-11-05,744.05
2020-11-06,755.95
2020-11-09,789.4
2020-11-10,769.4
2020-11-11,764.35
2020-11-12,758.75
2020-11-13,760.7
2020-11-14,762.25
2020-11-17,775.75
2020-11-18,773.55
2020-11-19,774.7
2020-11-20,773.1
2020-11-23,762.3
2020-11-24,780.9
2020-11-25,755.65
2020-11-26,770.75
2020-11-27,805.8
2020-12-01,795.3
2020-12-02,803.25
2020-12-03,808.95
2020-12-04,821.8
2020-12-07,813.3
2020-12-08,813.4
2020-12-09,813.15
2020-12-10,818.2
2020-12-11,808.65
2020-12-14,812.1
2020-12-15,830.65
2020-12-16,839.55
2020-12-17,826.6
2020-12-18,823.2
