DATES,WPRO=Z0 IS EQUITY
2020-10-27,329.85
2020-10-28,329.35
2020-10-29,332.45
2020-10-30,335.0
2020-11-02,330.9
2020-11-03,332.15
2020-11-04,338.1
2020-11-05,342.3
2020-11-06,343.85
2020-11-09,349.5
2020-11-10,340.45
2020-11-11,345.3
2020-11-12,345.3
2020-11-13,344.0
2020-11-14,343.8
2020-11-17,347.2
2020-11-18,344.35
2020-11-19,342.0
2020-11-20,345.75
2020-11-23,355.3
2020-11-24,354.15
2020-11-25,349.25
2020-11-26,354.0
2020-11-27,350.9
2020-12-01,353.8
2020-12-02,358.8
2020-12-03,359.5
2020-12-04,359.65
2020-12-07,356.55
2020-12-08,362.2
2020-12-09,357.4
2020-12-10,357.6
2020-12-11,354.0
2020-12-14,351.05
2020-12-15,354.0
2020-12-16,359.0
2020-12-17,358.25
2020-12-18,365.5
